25. Cauliflower,High (92%),0∘C−2∘C,Refrigeration,10-14,"Vegan, Cruciferous","Cling wrap (head), Tray (florets)",Yes (Humidity prevents discoloration)
26. Carrots,High (88%),0∘C−4∘C,"Refrigeration, Root cellaring",20-40,"Vegan, Root",Plastic Bag (low perforation),Yes (Requires high humidity to prevent wilting)
27. Celery,Very High (95%),0∘C−2∘C,"Refrigeration, Hydro-cooling",10-14,"Vegan, Raw","Cling wrap, Plastic Bag",Yes (Requires high humidity to stay crisp)
28. Asparagus,High (93%),0∘C−2∘C,Refrigeration (stored upright in water),5-10,"Vegan, Spring Veg",Rubber-banded Bunch,Yes (Drying causes toughness)
29. Green Beans,High (90%),4∘C−7∘C,Refrigeration,7-10,"Vegan, Legume",Vented Plastic Bag,Yes (Low humidity causes pitting/rusting)
30. Peas,High (79%),0∘C−4∘C,"Refrigeration, Shelling (to stop sugar conversion)",5-10,"Vegan, Legume","Pod, Vented Bag",Yes (Spoil quickly if damp)
31. Corn,High (73%),0∘C−4∘C,Refrigeration (in husk),3-7,"Vegan, Starchy",Husk (Natural packaging),No (Temp is main factor for sugar conversion)
32. Mushrooms,Very High (92%),0∘C−4∘C,"Refrigeration, Dry storage",7-10,"Vegan, Fungi","Paper Bag, Vented Clamshell","No (Absorbs moisture, leading to sliminess/rot)"
33. Cucumber,Extremely High (96%),10∘C−13∘C,Cool storage (not refrigerated),7-10,"Vegan, Raw","Cling Wrap (Long), Open Air",No (Sensitive to chill injury below 10∘C)
34. Zucchini,Very High (94%),7∘C−10∘C,Cool storage,7-14,"Vegan, Squash","Open Container, Plastic Bag (unsealed)","Yes (Chill injury if too low, high moisture causes rot)"
35. Eggplant,Very High (92%),10∘C−15∘C,Cool storage (not refrigerated),7-10,"Vegan, Nightshade",Open Air,No (Sensitive to chill injury)
36. Bell Peppers,Very High (92%),7∘C−13∘C,Refrigeration,10-14,"Vegan, Nightshade","Open Air, Plastic Bag",No (Relatively sturdy skin)
37. Tomatoes,Very High (94%),18∘C−24∘C,Room Temp (Flavor/Ripening),5-10,"Vegan, Nightshade","Open Air, Single Layer",No (Refrigeration damages texture and flavor)
38. Potatoes,High (79%),7∘C−10∘C,"Cool, Dark, Dry storage (Pantry)",30-90,"Vegan, Starchy","Paper Bag, Mesh Bag",No (High moisture causes sprouting)
39. Sweet Potatoes,High (77%),13∘C−16∘C,"Cool, Dark, Dry storage (Pantry)",30-60,"Vegan, Starchy","Paper Bag, Open Box",No (High moisture causes rotting)
40. Onions,High (89%),7∘C−13∘C,"Cool, Dark, Dry storage (Pantry)",60-90,"Vegan, Allium","Mesh Bag, Open Air",No (Requires dry air to prevent sprouting/mold)
41. Garlic,Medium (65%),18∘C−25∘C,"Room Temp, Dry storage",90-180,"Vegan, Allium","Open Air, Mesh Bag",No (Requires dry air)
42. Ginger,High (90%),7∘C−13∘C,Refrigeration (unpeeled),20-30,"Vegan, Root/Spice",Paper Towel in Bag,No (High moisture leads to mold)
43. Beetroot,High (87%),0∘C−4∘C,"Refrigeration, Root Cellaring",20-40,"Vegan, Root",Plastic Bag (low perforation),Yes (Requires high humidity)
44. Radish,Very High (93%),0∘C−4∘C,Refrigeration (remove greens),7-14,"Vegan, Root",Plastic Bag (low perforation),Yes (Requires high humidity)
45. Turnip,High (90%),0∘C−4∘C,"Refrigeration, Root Cellaring",30-60,"Vegan, Root","Plastic Bag, Root Cellar",Yes (Requires high humidity)
46. Milk,Very High (88%),0∘C−4∘C,"Pasteurization, Refrigeration",7-14,"Vegetarian, Dairy","Cartons, HDPE Bottles","No (Sensitive to temp, stored sealed)"
47. Cream,High (60-70%),0∘C−4∘C,"Pasteurization, Refrigeration",7-14,"Vegetarian, Dairy, High Fat","Cartons, Sealed Containers","No (Sensitive to temp, stored sealed)"
48. Fresh Cheese,Very High (50-80%),0∘C−4∘C,"Refrigeration, High Salting (some types)",5-10,"Vegetarian, Dairy","Sealed Container, Brine",No (Temp is main factor)
49. Mozzarella (Fresh),Very High (52-60%),0∘C−4∘C,"Brining, Refrigeration",5-10,"Vegetarian, Dairy",Sealed Tub (in brine/water),No (Stored in liquid)
50. Feta,Medium (55%),0∘C−4∘C,"Brining, Refrigeration",30-90,"Vegetarian, Dairy, Salty","Sealed Container (in brine), Vacuum Pack",No (High salt/brine content protects it)
51. Ricotta,Very High (70-80%),0∘C−4∘C,"Refrigeration, High heat treatment",7-10,"Vegetarian, Dairy","Plastic Tub, Sealed Container",No (Sensitive to contamination/temp)
52. Cottage Cheese,Very High (80%),0∘C−4∘C,"Refrigeration, Acidification",10-14,"Vegetarian, Dairy","Plastic Tub, Foil Seal",No (Sensitive to temp/contamination)
53. Yogurt,High (80-88%),0∘C−4∘C,"Refrigeration, Fermentation (Probiotic)",14-30,"Vegetarian, Dairy","Sealed Cup, Plastic Container","No (Sealed, sensitive to temp)"
54. Greek Yogurt,High (70-80%),0∘C−4∘C,"Refrigeration, Fermentation, Straining",14-30,"Vegetarian, Dairy, High Protein","Sealed Cup, Plastic Container","No (Sealed, sensitive to temp)"
55. Buttermilk,Very High (90%),0∘C−4∘C,"Refrigeration, Fermentation",10-14,"Vegetarian, Dairy","Carton, Plastic Bottle","No (Sensitive to temp, stored sealed)"
56. Sour Cream,Medium (70%),0∘C−4∘C,"Refrigeration, Acidification",10-14,"Vegetarian, Dairy","Plastic Tub, Foil Seal",No (Sensitive to temp/contamination)
57. Cream Cheese,Medium (50-60%),0∘C−4∘C,"Refrigeration, Pasteurization",20-30,"Vegetarian, Dairy","Sealed Block, Plastic Tub",No (Sensitive to air exposure/temp)
58. Butter,Low (15-20%),0∘C−4∘C,"Refrigeration, Salting (often)",30-90,"Vegetarian, Dairy, High Fat","Waxed Paper, Plastic Tub",No (Fat content is protective barrier)
59. Fresh Paneer,High (50-60%),0∘C−4∘C,"Refrigeration, Acid Coagulation",3-7,"Vegetarian, Dairy","Vacuum Pack, Sealed Container (in water)","Yes (Drying causes hardness, moisture causes slime)"
60. Tofu,Very High (75-80%),0∘C−4∘C,"Refrigeration, Brining (often)",7-10,"Vegan, Plant-Protein",Sealed Tub (in water),No (Stored in liquid)
--- 🍗 Meats (15 Items) ---,,,,,,,
61. Chicken Breast,High (75%),0∘C−4∘C,"Refrigeration, Freezing",2-3,"Non-Veg, Poultry","Vacuum Seal, Tray + Cling Wrap",No (Sensitive to air/temp)
62. Chicken Thighs,High (70%),0∘C−4∘C,"Refrigeration, Freezing",2-3,"Non-Veg, Poultry","Vacuum Seal, Tray + Cling Wrap",No (Sensitive to air/temp)
63. Whole Chicken,High (70-75%),0∘C−4∘C,"Refrigeration, Freezing",2-4,"Non-Veg, Poultry","Shrink Wrap, Plastic Bag",No (Sensitive to temp)
64. Turkey Breast,High (75%),0∘C−4∘C,"Refrigeration, Freezing",2-3,"Non-Veg, Poultry","Vacuum Seal, Tray + Cling Wrap",No (Sensitive to air/temp)
65. Duck,Medium (65%),0∘C−4∘C,"Refrigeration, Freezing",2-4,"Non-Veg, Poultry","Shrink Wrap, Vacuum Seal",No (Sensitive to temp)
66. Beef Steak,High (70%),0∘C−4∘C,"Refrigeration, Freezing, Dry Aging",3-5,"Non-Veg, Red Meat","Butcher Paper, Vacuum Seal",No (Sensitive to air exposure/temp)
67. Ground Beef,High (65-70%),0∘C−4∘C,"Refrigeration, Freezing",1-2,"Non-Veg, Ground Meat","Tray + Cling Wrap, Sealed Pack",No (High surface area = fast spoilage)
68. Pork Chops,High (68%),0∘C−4∘C,"Refrigeration, Freezing",3-4,"Non-Veg, Pork","Vacuum Seal, Tray + Cling Wrap",No (Sensitive to air/temp)
69. Fresh Bacon,Medium (50%),0∘C−4∘C,"Curing (Salting), Refrigeration",5-7,"Non-Veg, Cured Meat","Vacuum Pack, Tray",No (Curing preserves it from air/humidity)
70. Fresh Ham,Medium (60%),0∘C−4∘C,"Curing/Smoking, Refrigeration",5-7,"Non-Veg, Pork","Vacuum Pack, Cling Wrap",No (Curing preserves it from air/humidity)
71. Fresh Sausages,Medium (55-65%),0∘C−4∘C,"Refrigeration, Casing",1-2,"Non-Veg, Ground Meat","Tray + Cling Wrap, Butcher Paper",No (High fat/ground meat = fast spoilage)
72. Lamb Chops,High (65-70%),0∘C−4∘C,"Refrigeration, Freezing",3-5,"Non-Veg, Red Meat","Vacuum Seal, Butcher Paper",No (Sensitive to air/temp)
73. Fresh Liver,High (75%),0∘C−4∘C,"Refrigeration, Freezing",1-2,"Non-Veg, Organ Meat","Sealed Plastic Bag, Tray","No (Sensitive to air/temp, spoils fast)"
74. Fresh Heart,High (75%),0∘C−4∘C,"Refrigeration, Freezing",1-2,"Non-Veg, Organ Meat","Sealed Plastic Bag, Tray","No (Sensitive to air/temp, spoils fast)"
75. Fresh Oxtail,High (70%),0∘C−4∘C,"Refrigeration, Freezing",3-5,"Non-Veg, Bone-in Meat","Cling Wrap, Tray",No (Sensitive to air/temp)
76. Salmon Fillets,Very High (70%),0∘C (on ice),"Refrigeration, Freezing, Smoking",1-2,"Non-Veg, Omega-3","Waxed Paper, Vacuum Pack",No (Extremely sensitive to Temp)
77. Tuna Steaks,Very High (70-75%),0∘C (on ice),"Refrigeration, Freezing",1-2,"Non-Veg, High Protein","Waxed Paper, Vacuum Pack",No (Sensitive to air exposure/temp)
78. Cod Fillets,Very High (80%),0∘C (on ice),"Refrigeration, Freezing",1-2,"Non-Veg, White Fish","Waxed Paper, Tray",No (Sensitive to air exposure/temp)
79. Trout,Very High (75%),0∘C (on ice),"Refrigeration, Freezing",1-2,"Non-Veg, Freshwater","Whole (on ice), Vacuum Pack",No (Sensitive to air exposure/temp)
80. Mackerel,High (65-70%),0∘C (on ice),"Refrigeration, Freezing, Curing",1-2,"Non-Veg, Oily Fish","Whole (on ice), Vacuum Pack",No (Oils oxidize quickly if exposed)
81. Fresh Sardines,Very High (75%),0∘C (on ice),"Refrigeration, Curing, Canning",1,"Non-Veg, Oily Fish","Whole (on ice), Tray",No (Spoil extremely fast)
82. Fresh Anchovies,Very High (75%),0∘C (on ice),"Refrigeration, Curing, Salting",1,"Non-Veg, Small Fish","Tray, Brine/Salt",No (Spoil extremely fast)
83. Prawns,Very High (75-80%),0∘C (on ice),"Refrigeration, Freezing, Boiling",1-2,"Non-Veg, Shellfish","Covered Bowl, Vacuum Pack",No (Sensitive to temp/sulfite blackening)
84. Mussels (Live),Extremely High (85-90%),0∘C−4∘C,"Refrigeration (in breathable bag), Icing",2-5,"Non-Veg, Shellfish",Mesh Bag (No sealing),Yes (Need high humidity but must breathe)
85. Clams (Live),Extremely High (85-90%),0∘C−4∘C,"Refrigeration (in breathable bag), Icing",2-5,"Non-Veg, Shellfish",Mesh Bag (No sealing),Yes (Need high humidity but must breathe)
86. Raw Eggs,High (75%),0∘C−4∘C,"Refrigeration, Shell cleaning/oil coating",28-42,"Vegetarian, Protein",Egg Carton (Pulp or Plastic),Yes (Humidity affects shell integrity/mold)
87. Hard-boiled Eggs,High (75%),0∘C−4∘C,"Refrigeration, Shell protection",7,"Vegetarian, Cooked",Sealed Container,No (Temp is main factor)
88. Egg Salad,High (60-70%),0∘C−4∘C,"Refrigeration, Acidification (Mayonnaise base)",3-5,"Vegetarian, Prepared",Sealed Plastic Container,No (Sensitive to temp/air)
89. Deviled Eggs,High (60-70%),0∘C−4∘C,"Refrigeration, Acidification",2-4,"Vegetarian, Prepared","Sealed Container, Tray",No (Sensitive to temp/air)
90. Quiche,High (60%),0∘C−4∘C,"Refrigeration, Baking",3-5,"Vegetarian, Baked","Aluminum Pan, Cling Wrap",No (Sensitive to temp/air)
91. Fresh Omelette,High (70-75%),0∘C−4∘C,"Refrigeration, Cooking",1-2,"Vegetarian, Cooked",Sealed Container,No (Spoils quickly once cooked)
92. Scrambled Eggs,High (70-75%),0∘C−4∘C,"Refrigeration, Cooking",1-2,"Vegetarian, Cooked",Sealed Container,No (Spoils quickly once cooked)
93. Fresh Mayonnaise,Medium (30-50%),0∘C−4∘C,"Refrigeration, Acidification (Vinegar/Lemon)",7-14,"Vegetarian, Sauce","Sealed Jar, Plastic Bottle",No (Sensitive to temp/air)
94. Fresh Custard,Very High (80-85%),0∘C−4∘C,"Refrigeration, Cooking (starch thickening)",3-4,"Vegetarian, Dessert","Sealed Bowl, Container",No (High moisture/sugar content makes it sensitive to temp)
95. Fresh Meringue,Low (5-10%),18∘C−25∘C,"Baking (Drying), Air-tight storage",5-10,"Vegetarian, Dessert",Air-tight container,"Yes (Absorbs moisture, causing stickiness)"
96. Fresh Hollandaise,High (30-50%),0∘C−4∘C,"Immediate Refrigeration, Emulsification",1-2,"Vegetarian, Sauce",Sealed Container,No (Emulsion breaks easily with temp change)
97. Fresh Béarnaise,High (30-50%),0∘C−4∘C,"Immediate Refrigeration, Emulsification",1-2,"Vegetarian, Sauce",Sealed Container,No (Emulsion breaks easily with temp change)
98. Egg-based Sauces,Medium/High (50%),0∘C−4∘C,"Refrigeration, Cooking/Acidification",2-4,"Vegetarian, Sauce","Sealed Jar, Bottle",No (Sensitive to temp/contamination)
99. Fresh Pancake Batter,Very High (80%),0∘C−4∘C,"Refrigeration, Acidification (Buttermilk)",1-3,"Vegetarian, Flour",Sealed Container,No (Gas production/fermentation is main concern)
100. Fresh Waffle Batter,Very High (80%),0∘C−4∘C,"Refrigeration, Freezing (optional)",1-3,"Vegetarian, Flour",Sealed Container,No (Gas production/fermentation is main concern)
--- 🍰 Sweets & Desserts (15 Items) ---,,,,,,,
1. Gulab Jamun,Very High (80%),4∘C,"Sugar Syrup, Refrigeration",7-10,"Vegetarian, Milk Solids",Sealed Container,Yes (Sugar crystals form if too dry)
2. Rasgulla,Extremely High (90%),4∘C,"Sugar Syrup, Refrigeration",5-7,"Vegetarian, Milk Solids",Sealed Container (in syrup),No (Stored in liquid)
3. Jalebi,Low (15%),18∘C,"Deep Frying, Sugar Syrup",2-3,"Vegetarian, Fried Snack","Paper Bag, Open Box",Yes (Becomes soggy if humid)
4. Kheer (Rice Pudding),Very High (85%),4∘C,"Boiling, Refrigeration",3-4,"Vegetarian, Dairy",Sealed Bowl,No (Sensitive to temp/contamination)
5. Gajar Ka Halwa,Medium (50%),4∘C,"Cooking with Ghee, Refrigeration",7-10,"Vegetarian, Dairy",Sealed Container,No (Ghee prevents drying)
6. Kulfi (Indian Ice Cream),High (70%),≤−18∘C,Freezing,90+,"Vegetarian, Dairy","Moulds, Sealed Pack",No (Sensitive to temp)
7. Modak,Medium (40%),4∘C,Steaming,2-3,"Vegetarian, Starchy",Sealed Container,Yes (Hardens if left open)
8. Ladoo (Besan/Rava),Low (10%),18∘C,"Roasting, Ghee",14-30,"Vegetarian, Dry Snack",Air-tight container,No (Low moisture is protective)
9. Barfi (Kaju/Pista),Low (20%),4∘C,"Boiling, Sugar crystallization",7-14,"Vegetarian, Milk Solids","Sealed Box, Cling Wrap",No (Sensitive to mold if wet)
10. Shrikhand,Very High (75%),4∘C,"Fermentation, Refrigeration",5-7,"Vegetarian, Curd Base",Sealed Tub,No (Sensitive to temp)
11. Malpua,High (60%),4∘C,"Deep Frying, Syrup",2-3,"Vegetarian, Dessert",Sealed Container,Yes (Becomes soggy if humid)
12. Ras Malai,Very High (85%),4∘C,Refrigeration (in milk syrup),4-6,"Vegetarian, Milk Solids",Sealed Container (in liquid),No (Stored in liquid)
13. Rabri,Very High (80%),4∘C,"Boiling/Reduction, Refrigeration",3-5,"Vegetarian, Dairy",Sealed Bowl,No (Sensitive to temp/contamination)
14. Peda,Low (20%),4∘C,"Milk reduction, Sugar",7-14,"Vegetarian, Milk Solids",Sealed Box,No (Low moisture is protective)
15. Phirni,Very High (85%),4∘C,"Boiling, Refrigeration",3-4,"Vegetarian, Dairy",Sealed Bowl,No (Sensitive to temp/contamination)
--- 🍲 Main Course - Sabzis & Curries (20 Items) ---,,,,,,,
16. Dal Makhani,Very High (80%),4∘C,"Boiling, Tempering (Tadka)",3-5,"Vegetarian, Legume",Air-tight container,"No (Spoils due to temp, not moisture)"
17. Chana Masala,Very High (78%),4∘C,"Boiling, Tempering (Tadka)",3-5,"Vegan/Veg, Legume",Air-tight container,"No (Spoils due to temp, not moisture)"
18. Aloo Gobi,High (70%),4∘C,"Stir-frying, Tempering",3-5,"Vegan, Vegetable",Air-tight container,No (Sensitive to temp)
19. Palak Paneer,High (75%),4∘C,"Boiling/Puree, Refrigeration",3-4,"Vegetarian, Dairy",Air-tight container,No (Sensitive to temp)
20. Butter Chicken,High (70%),4∘C,Cooking in Cream/Tomato Base,3-4,"Non-Veg, Poultry",Air-tight container,No (Sensitive to temp)
21. Rogan Josh,High (68%),4∘C,Slow Cooking (Ghee/Oil),4-5,"Non-Veg, Mutton",Air-tight container,No (Oil content helps preservation)
22. Fish Curry (South),High (75%),4∘C,Cooking in Coconut Milk/Tamarind,2-3,"Non-Veg, Seafood",Air-tight container,No (Sensitive to temp)
23. Baingan Bharta,High (70%),4∘C,"Roasting, Tempering",3-5,"Vegan, Vegetable",Air-tight container,No (Sensitive to temp)
24. Rajma Masala,Very High (80%),4∘C,"Boiling, Tempering",3-5,"Vegetarian, Legume",Air-tight container,No (Sensitive to temp)
25. Kadai Paneer,High (65%),4∘C,"Wok-frying, Tomato base",3-4,"Vegetarian, Dairy",Air-tight container,No (Sensitive to temp)
26. Matar Paneer,High (70%),4∘C,"Boiling, Tomato base",3-4,"Vegetarian, Dairy",Air-tight container,No (Sensitive to temp)
27. Bhindi Masala,Medium (45%),4∘C,"Stir-frying, Acidification (Amchur)",2-3,"Vegan, Vegetable",Air-tight container,No (Sensitive to temp)
28. Malai Kofta,High (70%),4∘C,"Frying, Creamy base",3-4,"Vegetarian, Dairy",Air-tight container,No (Sensitive to temp)
29. Sarson Ka Saag,High (80%),4∘C,"Boiling/Puree, Tempering (Ghee)",3-5,"Vegetarian, Leafy Green",Air-tight container,No (Sensitive to temp)
30. Chhole Bhature (Curry only),Very High (80%),4∘C,"Boiling, Tempering",3-5,"Vegan, Legume",Air-tight container,No (Sensitive to temp)
31. Chicken Tikka Masala,High (70%),4∘C,"Baking/Grilling, Creamy base",3-4,"Non-Veg, Poultry",Air-tight container,No (Sensitive to temp)
32. Egg Curry,High (75%),4∘C,"Boiling, Tempering",2-3,"Vegetarian/Egg, Curry",Air-tight container,No (Sensitive to temp)
33. Shahi Paneer,High (70%),4∘C,Creamy/Nutty base,3-4,"Vegetarian, Dairy",Air-tight container,No (Sensitive to temp)
34. Vegetable Korma,High (70%),4∘C,Creamy/Nutty base,3-4,"Vegetarian, Dairy",Air-tight container,No (Sensitive to temp)
35. Keema Matar,High (65%),4∘C,Slow Cooking (Ground Meat),3-4,"Non-Veg, Ground Meat",Air-tight container,No (Sensitive to temp)
--- 🍚 Rice & Bread (15 Items) ---,,,,,,,
36. Plain Rice (Cooked),Very High (70%),4∘C,"Boiling, Steaming",3-4,"Vegan, Starchy",Sealed Container,Yes (Dries out quickly)
37. Biryani (Chicken/Veg),High (65%),4∘C,Layered Steaming (Dum),3-4,Mixed,Sealed Container,No (Oils help retain moisture)
38. Jeera Rice,High (65%),4∘C,"Boiling, Tempering (Ghee)",3-4,"Vegan/Veg, Starchy",Sealed Container,Yes (Dries out quickly)
39. Pulao (Veg),High (65%),4∘C,"Boiling, Steaming",3-4,"Vegan, Starchy",Sealed Container,Yes (Dries out quickly)
40. Lemon Rice,High (65%),4∘C,"Boiling, Tempering (Oil)",2-3,"Vegan, Citrus",Sealed Container,Yes (Flavor degrades quickly)
41. Plain Roti/Chapati,Low (20%),18∘C,Dry Heat Cooking,1-2,"Vegan, Flour","Cloth Wrap, Container",Yes (Becomes hard/stale if dry)
42. Naan,Medium (35%),18∘C,Tandoor Baking,1,"Vegetarian, Flour",Cling Wrap (Short Term),Yes (Becomes rubbery if cold)
43. Paratha (Plain),Low (15%),4∘C,Pan Frying (Oil/Ghee),2-3,"Vegetarian, Flour",Foil Wrap,No (Fats retain texture)
44. Poori,Low (10%),18∘C,Deep Frying,1,"Vegetarian, Fried",Paper Bag,No (Oil content is protective)
45. Bhatura,Low (10%),18∘C,Deep Frying,1,"Vegetarian, Fried",Paper Bag,No (Best served fresh)
46. Besan Cheela,High (60%),4∘C,Pan Frying,1-2,"Vegetarian, Batter",Sealed Container,No (Sensitive to temp)
47. Uttapam,High (65%),4∘C,Pan Frying (Batter),1-2,"Vegan, Fermented Batter",Sealed Container,No (Sensitive to temp)
48. Idli,High (70%),4∘C,Steaming (Fermented Batter),2-3,"Vegan, Fermented Batter",Sealed Container,Yes (Hardens if dry)
49. Dosa,Medium (40%),18∘C,Pan Frying (Thin Batter),1,"Vegan, Fermented Batter",Open Air (Best fresh),Yes (Becomes soft/soggy)
50. Vada Pav (Prepared),Medium (45%),18∘C,"Deep Frying, Bread",1,"Vegetarian, Fried Snack",Paper Wrap,Yes (Becomes soggy if cold/humid)
--- 🥟 Starters & Snacks (15 Items) ---,,,,,,,
51. Samosa,Low (10%),18∘C,Deep Frying,2-3,"Vegetarian, Fried Snack","Paper Bag, Open Box",Yes (Becomes soggy if humid)
52. Pakora (Onion/Veg),Low (10%),18∘C,Deep Frying,1,"Vegetarian, Fried Snack",Paper Bag,Yes (Becomes soggy if humid)
53. Vegetable Cutlet,Medium (35%),4∘C,Deep Frying,2-3,"Vegetarian, Prepared",Sealed Container,No (Sensitive to temp)
54. Spring Roll,Low (10%),18∘C,Deep Frying,1-2,"Vegetarian, Fried Snack",Paper Bag,Yes (Becomes soggy if humid)
55. Aloo Tikki,Low (15%),18∘C,Shallow Frying,1,"Vegetarian, Fried Snack",Open Air,No (Best served fresh)
56. Pani Puri (Puri),Very Low (5%),18∘C,"Deep Frying, Drying",7-14,"Vegan, Fried Snack",Sealed Pack,Yes (Becomes stale if left open)
57. Dahi Vada,Very High (80%),4∘C,"Soaking in Curd, Refrigeration",2-3,"Vegetarian, Curd Base",Sealed Container,No (Sensitive to temp)
58. Kachori,Low (10%),18∘C,Deep Frying,3-5,"Vegetarian, Fried Snack",Air-tight container,Yes (Becomes soggy if humid)
59. Seekh Kebab,Medium (60%),4∘C,Grilling/Tandoor,2-3,"Non-Veg, Minced Meat",Sealed Container,No (Sensitive to temp)
60. Chicken Tikka (Dry),Medium (65%),4∘C,Grilling/Tandoor,2-3,"Non-Veg, Poultry",Sealed Container,No (Sensitive to temp)
61. Fish Fry (Indian Style),Medium (50%),4∘C,Deep Frying,1-2,"Non-Veg, Seafood",Sealed Container,No (Sensitive to temp)
62. Momos (Steamed),High (60%),4∘C,Steaming,1,"Non-Veg/Veg, Steamed",Sealed Container,Yes (Becomes tough/dry if open)
63. Dhokla,High (60%),4∘C,"Steaming, Tempering",2-3,"Vegetarian, Steamed",Sealed Container,Yes (Dries out easily)
64. Khandvi,High (70%),4∘C,"Boiling/Rolling, Tempering",2-3,"Vegetarian, Steamed",Sealed Container,Yes (Dries out easily)
65. Bhel Puri (Pre-Mix),Very Low (5%),18∘C,"Drying, Roasting",30-90,"Vegan, Dry Snack",Air-tight container,Yes (Must be stored dry to maintain crunch)
--- 🍞 Breakfast & Tiffin (15 Items) ---,,,,,,,
66. Masala Dosa,Medium (45%),18∘C,Batter Frying,1,"Vegan, Batter",Open Air (Best fresh),Yes (Becomes soft/soggy)
67. Upma,High (70%),4∘C,Boiling/Steaming,1-2,"Vegan/Veg, Semolina",Sealed Container,No (Sensitive to temp)
68. Poha,Medium (55%),4∘C,Steaming/Sautéing,1-2,"Vegan, Flattened Rice",Sealed Container,No (Sensitive to temp)
69. Pongal (Sweet/Savory),High (75%),4∘C,Boiling,1-2,"Vegan/Veg, Rice/Lentil",Sealed Container,No (Sensitive to temp)
